GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sms-backend,com.turggut.sms.student.web,StudentController,0,45,0,0,0,10,0,7,0,7
sms-backend,com.turggut.sms.fee.domain,Fee,0,6,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.fee.domain,FeeStatus,0,33,0,0,0,6,0,1,0,1
sms-backend,com.turggut.sms.teacher.service,TeacherService,18,276,7,15,4,60,6,16,0,11
sms-backend,com.turggut.sms.fee.service,FeeService,6,252,2,16,0,52,3,18,1,11
sms-backend,com.turggut.sms.course.service,CourseService,13,259,5,11,2,51,5,18,1,14
sms-backend,com.turggut.sms.student.service,StudentService,25,366,10,20,5,81,10,20,1,14
sms-backend,com.turggut.sms.iam.domain,User,0,12,1,3,0,1,1,2,0,1
sms-backend,com.turggut.sms.iam.domain,Role,0,25,0,0,0,5,0,2,0,2
sms-backend,com.turggut.sms.iam.domain,RefreshToken,0,15,1,3,0,2,1,3,0,2
sms-backend,com.turggut.sms.shared.config,SecurityConfig,0,253,0,0,0,43,0,18,0,18
sms-backend,com.turggut.sms.shared.config,AppProperties.Bootstrap,0,12,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,AppProperties.Security,0,15,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,AppProperties.RateLimit,0,9,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,AppProperties.Jwt,0,15,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,OpenApiConfig,0,38,0,0,0,12,0,2,0,2
sms-backend,com.turggut.sms.shared.config,AppProperties.Password,0,12,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,AppProperties.Cors,0,6,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,AppProperties,0,9,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,AppConfig,0,3,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.shared.config,Bootstrap,1,45,1,1,1,14,1,2,0,2
sms-backend,com.turggut.sms.shared.domain,BaseAuditedEntity,0,3,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.iam.dto,RefreshRequest,0,6,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.iam.dto,AuthResponse,0,15,0,0,0,1,0,1,0,1
sms-backend,com.turggut.sms.iam.dto,PasswordChangeRequest,0,9,0,0,0,1,0,1,0,1
